Name,|V|,|E|,Randomized-1,Greedy-1,Semi-Greedy-1,LocalSearch-Iterations,LocalSearch-Average,GRASP-Iterations,GRASP-Best,KnownBest
G1,800,19176,9582.3,10956,10997,90,11337,100,11478,12078
G10,800,19176,-80.6,1350,1220,90,1718,100,1855,
G11,800,1600,19.6,434,408,30,423,100,472,627
G12,800,1600,9.4,418,382,30,414,100,472,621
G13,800,1600,10.0,432,426,40,437,100,500,645
G14,800,4694,2352.1,2890,2864,40,2911,100,2979,3187
G15,800,4661,2334.7,2873,2835,40,2894,100,2960,3169
G16,800,4672,2349.2,2878,2842,40,2899,100,2960,3172
G17,800,4667,2330.8,2864,2835,40,2897,100,2965,
G18,800,4694,21.6,780,609,40,813,100,899,
G19,800,4661,-58.5,681,554,40,722,100,815,
G2,800,19176,9602.3,11030,10972,90,11343,100,11476,12084
G20,800,4672,-30.4,698,597,40,754,100,837,
G3,800,19176,9584.1,11012,11070,90,11329,100,11461,12077
G4,800,19176,9586.1,11031,11086,90,11347,100,11489,
G5,800,19176,9600.2,10990,10980,90,11341,100,11478,
G6,800,19176,87.8,1515,1381,90,1880,100,2063,
G7,800,19176,-86.9,1362,1171,90,1716,100,1848,
G8,800,19176,-98.0,1331,1172,90,1726,100,1859,
G9,800,19176,-40.3,1507,1338,90,1767,100,1914,
